epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.709964394569397,0.5525354743003845,0.6899534463882446,0.7481962442398071,0.8090452551841736,0.4001576006412506,0.8351648449897766,0.7676767706871033
1,0.827046275138855,0.38907650113105774,0.8155680298805237,0.8391053676605225,0.8291457295417786,0.35836392641067505,0.7656675577163696,0.9461279511451721
2,0.8647686839103699,0.3113436698913574,0.8454670310020447,0.8881673812866211,0.8442211151123047,0.3361939489841461,0.7865168452262878,0.9427609443664551
3,0.8825622797012329,0.2600078880786896,0.8626373410224915,0.906204879283905,0.8542713522911072,0.3082069754600525,0.8476821184158325,0.8619528412818909
4,0.9032028317451477,0.21701636910438538,0.8922535181045532,0.9141414165496826,0.8324958086013794,0.3851727545261383,0.8146964907646179,0.8585858345031738
5,0.9149466156959534,0.18869639933109283,0.899095356464386,0.9321789145469666,0.8458961248397827,0.3732087016105652,0.8213165998458862,0.8821548819541931
6,0.9263345003128052,0.16633369028568268,0.9108014106750488,0.9430014491081238,0.8408710360527039,0.3931538164615631,0.8176100850105286,0.875420868396759
7,0.9430605173110962,0.1266191154718399,0.9310829639434814,0.9552669525146484,0.8509212732315063,0.4322672188282013,0.8513513803482056,0.8484848737716675
8,0.9572953581809998,0.10918748378753662,0.9521428346633911,0.9617604613304138,0.8408710360527039,0.6189669370651245,0.885496199131012,0.7811447978019714
9,0.9679715037345886,0.08661209791898727,0.9595744609832764,0.976190447807312,0.8492462038993835,0.566705048084259,0.8631578683853149,0.8282828330993652
