split,split_index,dataset,category,label,label_name,relative_path,size_bytes,sha256
hard_negative_v2,0,hard_negative_v2,sport,0,non_violence,test_sport_v2/basketball_v2_06_8kqd4q1mIR4.mp4,641696,f351208ee5f55da9613a15e1a289d9860c325ef3543d316f9dea418b42510804
hard_negative_v2,1,hard_negative_v2,sport,0,non_violence,test_sport_v2/basketball_v2_07_WMG94RSTLxo.mp4,2239154,cfd285b36f7c1a217ac7d947264f45ae36ec4639c5975420616b3094abfb52fc
hard_negative_v2,2,hard_negative_v2,sport,0,non_violence,test_sport_v2/basketball_v2_08_0CReVRH-3D4.mp4,1981603,dca52019781f6798471eb8b1c9d4626da65a95ce60de1729c99d89f8af3b85b8
hard_negative_v2,3,hard_negative_v2,sport,0,non_violence,test_sport_v2/basketball_v2_09_ppy0BSfeF3Q.mp4,630607,41630f6009a5d2768ba60073b5132e5fcc373bacea8e796f8069590eeed2439b
hard_negative_v2,4,hard_negative_v2,sport,0,non_violence,test_sport_v2/basketball_v2_10_UbQoV8SDcOk.mp4,1325138,330dccce02b5fceeff573d446a07de2b7e2ef1b0b78e5c96c53cac7e265d9c73
hard_negative_v2,5,hard_negative_v2,sport,0,non_violence,test_sport_v2/boxe_v2_01_8BPs176rYWw.mp4,2405345,77121d3f356eee336664e2e1ae97388c176a66fc10385bde9ae584857ef2c061
hard_negative_v2,6,hard_negative_v2,sport,0,non_violence,test_sport_v2/boxe_v2_02_Ag_pn2P8BPI.mp4,777882,eb2e4cb1cf1783bbc5fa05d59798cb2b4aaabf0005c0c5b7af2e3b3e5d03e457
hard_negative_v2,7,hard_negative_v2,sport,0,non_violence,test_sport_v2/boxe_v2_03_XBQeqirAPzM.mp4,442904,55b7b33d5cd02cb16f93cdbbaf91601e1dcd18c162854d4ee07a7d8054408666
hard_negative_v2,8,hard_negative_v2,sport,0,non_violence,test_sport_v2/boxe_v2_04_WeyqNKZfHLM.mp4,1030267,218e370b5c45dc9151b8a62c49eda54ab6b70dae8c0ef38a4cedfa50f6a8040f
hard_negative_v2,9,hard_negative_v2,sport,0,non_violence,test_sport_v2/boxe_v2_05_sJyJwc7ADyM.mp4,485442,b4d6ac22aa97c77cdfcf095b38c3a241d2e404e3a51fcb4339d161714e4e6ecd
hard_negative_v2,10,hard_negative_v2,sport,0,non_violence,test_sport_v2/football_v2_11_6AqhRKyJMuw.mp4,980989,3e2907dabff877268ef0290db7d3c88d7685111f76fb96fb89d32527dffafaf8
hard_negative_v2,11,hard_negative_v2,sport,0,non_violence,test_sport_v2/football_v2_12_VAKwh3rzfEs.mp4,540319,b23fdba67c4914a4d2c36bcedee61b74a3167c3d5edc3d266de77e86079412bb
hard_negative_v2,12,hard_negative_v2,sport,0,non_violence,test_sport_v2/football_v2_13_gycJjkXmEI0.mp4,773767,b8c2f8e86d01d9b6a87803c445e315fbd17db535f21d3ecfeacaa6cefb31f80b
hard_negative_v2,13,hard_negative_v2,sport,0,non_violence,test_sport_v2/football_v2_14_pGRVqXaT2FU.mp4,346485,9241f565f2c251c9224a4344f782cfcb6dae8a57babdf1064096120620e5e012
hard_negative_v2,14,hard_negative_v2,sport,0,non_violence,test_sport_v2/football_v2_15_bWTtLN2V7hs.mp4,3329715,590e87297620421394c5fdcc13f454c4b3ac1df4b55356922ba0f72cc8b896bb
hard_negative_v2,15,hard_negative_v2,danse,0,non_violence,test_danse_v2/danse_v2_01_lhAtt3fR-TM.mp4,864996,1e42d992408889c4a13178f89422773274ae32d96892aaee98bc3cef9f3df4aa
hard_negative_v2,16,hard_negative_v2,danse,0,non_violence,test_danse_v2/danse_v2_02_OBLrvjFEXQc.mp4,2046170,7d78e6d7824209228f250b3cd38b04882dcc9bbad688f3440466c7d04367bdbe
hard_negative_v2,17,hard_negative_v2,danse,0,non_violence,test_danse_v2/danse_v2_03_vLQ7wIeHSMM.mp4,2814984,4d807277410c7de10c1766f14c5c33b2b2c2ee60c5fe51d3dfea95ba9c4abc0e
hard_negative_v2,18,hard_negative_v2,danse,0,non_violence,test_danse_v2/danse_v2_04_EBZ5l8CJBbM.mp4,1163590,236761deb518012e4acca8c299a1a795560b4da422d9c5eb33afae77a88dffef
hard_negative_v2,19,hard_negative_v2,danse,0,non_violence,test_danse_v2/danse_v2_05_g5MxNjuQiV0.mp4,577347,95cabbe60c406c6a6049ac35ae2a716e6f6df4015f0eb4da7ac2a08a7685d7de
