split,split_index,dataset,category,label,label_name,relative_path,size_bytes,sha256
train,0,RWF-2000,,0,non_violence,train/NonFight/rwf_train_nonfight_0084.avi,3501126,d7432429c3f8869eaa400aa65273364c615e158db4effd1cf2e6d5b4b3243b36
train,1,RLVS,,1,violence,Violence/V_372.mp4,2474989,5a3b6bdb38b01b7dfcdcd291192e8632c973bae021488b9f9b7ecf970a77b322
train,2,RWF-2000,,0,non_violence,val/NonFight/rwf_val_nonfight_0119.avi,2193624,a33dbbf72a504609b0eab939adf738fc33dd7e9e2f7eb54a32560488bd2e4211
train,3,RLVS,,1,violence,Violence/V_374.mp4,2575164,a37084055a942ad5504c41ba7170494a58ffe1da0eb96e7e18fecc08c001d0a6
train,4,RWF-2000,,1,violence,train/Fight/rwf_train_fight_0548.avi,5816254,38841138e512887d0768787baf3dcb465c1f53da367d04925c8af27f26ec33ca
train,5,RLVS,,0,non_violence,NonViolence/NV_833.mp4,772299,cc807f007fce67ff4d3358ffb76dafc6f738151a1f8ad7a93c8f1e849ccaf61a
train,6,RLVS,,1,violence,Violence/V_56.mp4,455244,fa4407362436a31a6beb1e13745a12c6b4639810a01006ac7cef6f1c23017924
train,7,RWF-2000,,0,non_violence,train/NonFight/rwf_train_nonfight_0321.avi,2515184,1897f32aecf66456f5c17d8c0b89061b48850fc08083c635fc05a0d7a62ce909
train,8,RLVS,,0,non_violence,NonViolence/NV_965.mp4,1186503,4d7ba2818039cc9b5268a19eba7caa27b6b431d41ba7d73524ac31dc57f6e829
train,9,RLVS,,1,violence,Violence/V_449.mp4,1669893,1ec50eee56d0d2ebf2b09926a2ff1fd2d1be0c577a6042fd13541676da053882
train,10,RLVS,,1,violence,Violence/V_287.mp4,1991497,aee1be41b2bc30a584029513c7e39f6bcfa92938a2df1db77f9d05700f92776d
train,11,RWF-2000,,0,non_violence,train/NonFight/rwf_train_nonfight_0385.avi,11436068,0d72bfab8510e3cd8ae59cd3d36976a346dcee421b3b66d96bed4baea82723a3
train,12,RLVS,,0,non_violence,NonViolence/NV_145.mp4,734260,f502b47187097fbde59c761fde022b11b2f36cad05e19b9052b58c2e0500e3b0
train,13,RLVS,,1,violence,Violence/V_436.mp4,739441,64db657595868381e4d9e9197d54b4ef1e7001562a376e5fe15ed05de7b3a471
train,14,RLVS,,1,violence,Violence/V_181.mp4,279160,cf94663336f49e366cb6672d28ec4c5d707e390c0d9ae2125a46bc217592461f
train,15,RLVS,,1,violence,Violence/V_279.mp4,2127821,6562f108210fdc33a63e9eb63e7ae001353b375e83299c04cab1e8091d945fd3
train,16,RWF-2000,,1,violence,val/Fight/rwf_val_fight_0008.avi,1886522,ed1f14af4e54271422b4d99e878baac2dd8b03bafa649ac1dc0671215445796a
