epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8570588231086731,0.3339140713214874,0.8533177971839905,0.8623529672622681,0.9266666769981384,0.1672074943780899,0.970588207244873,0.8799999952316284
1,0.9594117403030396,0.11815227568149567,0.9556592702865601,0.9635294079780579,0.95333331823349,0.11588029563426971,0.9857142567634583,0.9200000166893005
2,0.9805882573127747,0.06508206576108932,0.9788979887962341,0.9823529124259949,0.9766666889190674,0.07391740381717682,0.9798657894134521,0.9733333587646484
3,0.9888235330581665,0.03710160404443741,0.9871043562889099,0.9905882477760315,0.9766666889190674,0.07541798800230026,0.9735099077224731,0.9800000190734863
4,0.9917647242546082,0.0258646160364151,0.9917647242546082,0.9917647242546082,0.9633333086967468,0.09199266135692596,0.9860140085220337,0.9399999976158142
5,0.99647057056427,0.01818404719233513,0.9976415038108826,0.9952940940856934,0.9433333277702332,0.23215466737747192,0.985401451587677,0.8999999761581421
6,0.994705855846405,0.023137791082262993,0.9952885508537292,0.9941176176071167,0.9666666388511658,0.09690839797258377,0.9666666388511658,0.9666666388511658
7,0.9988235235214233,0.0057137799449265,0.9988235235214233,0.9988235235214233,0.9700000286102295,0.10862874239683151,0.9668874144554138,0.9733333587646484
8,0.9988235235214233,0.005949182435870171,0.9988235235214233,0.9988235235214233,0.9733333587646484,0.10684932768344879,0.9733333587646484,0.9733333587646484
9,0.9976470470428467,0.004340271465480328,0.9976470470428467,0.9976470470428467,0.9733333587646484,0.11556878685951233,0.9733333587646484,0.9733333587646484
10,0.9994117617607117,0.0026185165625065565,1.0,0.9988235235214233,0.9733333587646484,0.11497590690851212,0.9733333587646484,0.9733333587646484
