split_a,split_b,dataset_a,dataset_b,label_a,label_b,relative_path_a,relative_path_b,sha256_a,sha256_b,source_id_a,source_id_b,source_id_match,basename_match,duration_seconds_a,duration_seconds_b,duration_delta_seconds,duration_ratio,resolution_a,resolution_b,min_phash_hamming,ordered_matches_h6,ordered_matches_h8,classification
train,test,RWF-2000,RWF-2000,1,1,val/Fight/rwf_val_fight_0008.avi,val/Fight/rwf_val_fight_0009.avi,ed1f14af4e54271422b4d99e878baac2dd8b03bafa649ac1dc0671215445796a,2e10629eb5dd190a81b3b93ff0dfe35dc8c16eeb8e88a6654a1ddec5d92f4728,,,0,0,5.000000,5.000000,0.0,1.0,320x240,320x240,0,9,9,probable_near_duplicate
train,validation,RWF-2000,RWF-2000,0,0,train/NonFight/rwf_train_nonfight_0589.avi,train/NonFight/rwf_train_nonfight_0590.avi,c4ed2cd10d5d6650df7b075c629567bdf89f10c600b480c2a892809ef4365f70,71da352a4b6bed3d2b9f30ffb209916562b60d5dc38f7e664ea279cdde32042e,,,0,0,5.000000,5.000000,0.0,1.0,1280x720,1280x720,0,9,9,probable_near_duplicate
train,test,RWF-2000,RWF-2000,0,0,train/NonFight/rwf_train_nonfight_0613.avi,train/NonFight/rwf_train_nonfight_0633.avi,95eb0a11c58fcb8f2d9cc45056db7739548ffde4112e1af479683981541f2a54,61f406ddbca6730542b0f947a997aabfaee5ca6038da9662d51849da65fb6f3b,,,0,0,5.000000,5.000000,0.0,1.0,320x240,320x240,0,9,9,probable_near_duplicate
train,validation,RWF-2000,RWF-2000,1,1,val/Fight/rwf_val_fight_0033.avi,val/Fight/rwf_val_fight_0030.avi,a8fa69d2aee1b75c36a7574059ae813a99b0bbaa382a4fbe107e64a074427317,44d0e15d2193ac452a1f7f476d61db61a799647f63615c1eb6181fe0fc79b861,,,0,0,5.000000,5.000000,0.0,1.0,1280x720,1280x720,0,9,9,probable_near_duplicate
train,validation,RWF-2000,RWF-2000,1,1,train/Fight/rwf_train_fight_0276.avi,train/Fight/rwf_train_fight_0277.avi,56bb908d3810f171bfe6caff2fb4d547568a9f7c7bb010c85bb2423d82361380,d24a31d300a73f10a29400bf4bba720e8a45bcb7b8ca9e292c7b450fa7d9633a,,,0,0,5.000000,5.000000,0.0,1.0,640x360,640x360,0,9,9,probable_near_duplicate
train,validation,RWF-2000,RWF-2000,1,1,train/Fight/rwf_train_fight_0276.avi,train/Fight/rwf_train_fight_0273.avi,56bb908d3810f171bfe6caff2fb4d547568a9f7c7bb010c85bb2423d82361380,078172332afa26e1668a25a033ed29d325050598c8d854537922a50375f1051f,,,0,0,5.000000,5.000000,0.0,1.0,640x360,640x360,0,9,9,probable_near_duplicate
train,validation,RWF-2000,RWF-2000,0,1,train/NonFight/rwf_train_nonfight_0298.avi,train/Fight/rwf_train_fight_0273.avi,e53df4ebd681c438144869409c0f09170409783d7eaec72533ca6711d3ab7464,078172332afa26e1668a25a033ed29d325050598c8d854537922a50375f1051f,,,0,0,5.000000,5.000000,0.0,1.0,640x360,640x360,0,9,9,probable_near_duplicate
train,validation,RWF-2000,RWF-2000,1,1,train/Fight/rwf_train_fight_0284.avi,train/Fight/rwf_train_fight_0280.avi,8077cf486ac19c4f7638a96d80d717c2734897a0583118066e662d45bd517802,64a3f212c930fb26e6dc25820c0518fad1110a15c8812912b2182c80535c54ed,,,0,0,5.000000,5.000000,0.0,1.0,320x240,320x240,0,9,9,probable_near_duplicate
train,test,RWF-2000,RWF-2000,1,1,train/Fight/rwf_train_fight_0284.avi,train/Fight/rwf_train_fight_0279.avi,8077cf486ac19c4f7638a96d80d717c2734897a0583118066e662d45bd517802,0fa1d34f2ff90ea667a44782a35835003673c4d2abc7c5370604a2a99677bc01,,,0,0,5.000000,5.000000,0.0,1.0,320x240,320x240,0,9,9,probable_near_duplicate
train,test,RWF-2000,RWF-2000,1,1,train/Fight/rwf_train_fight_0284.avi,train/Fight/rwf_train_fight_0282.avi,8077cf486ac19c4f7638a96d80d717c2734897a0583118066e662d45bd517802,2c7b1fb6c5715cfd96f7b1865f8c87b9f1452fd0e260ec5126b9b674eb2a0185,,,0,0,5.000000,5.000000,0.0,1.0,320x240,320x240,0,9,9,probable_near_duplicate
train,validation,RWF-2000,RWF-2000,1,1,train/Fight/rwf_train_fight_0283.avi,train/Fight/rwf_train_fight_0280.avi,b11ad3e2cba8141d0e851d6fd6417b801e52a7271ca2703f069bf092ce922531,64a3f212c930fb26e6dc25820c0518fad1110a15c8812912b2182c80535c54ed,,,0,0,5.000000,5.000000,0.0,1.0,320x240,320x240,0,9,9,probable_near_duplicate
