epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
1,0.8995741605758667,0.24942168593406677,0.8891227841377258,0.9102011322975159,0.8518518805503845,0.31214264035224915,0.8132529854774475,0.912162184715271
2,0.8924769163131714,0.2583030164241791,0.8815697431564331,0.9037356376647949,0.8585858345031738,0.2957678437232971,0.8397436141967773,0.8851351141929626
3,0.92051100730896,0.1952657550573349,0.9055555462837219,0.9367815852165222,0.8501683473587036,0.38039371371269226,0.9090909361839294,0.7770270109176636
4,0.9457061886787415,0.13991208374500275,0.9384288787841797,0.9525862336158752,0.8602693676948547,0.35456961393356323,0.8610169291496277,0.8581081032752991
5,0.9528034329414368,0.11832073330879211,0.9442484378814697,0.9612069129943848,0.8821548819541931,0.29396480321884155,0.8896551728248596,0.8716216087341309
6,0.9627395272254944,0.09473245590925217,0.9515789747238159,0.9741379022598267,0.868686854839325,0.3955000042915344,0.8732876777648926,0.8614864945411682
7,0.9737402200698853,0.07566827535629272,0.9693732261657715,0.977729856967926,0.8602693676948547,0.4362105131149292,0.8685120940208435,0.8479729890823364
8,0.9677075743675232,0.07697762548923492,0.963649332523346,0.9712643623352051,0.8905723690986633,0.36303865909576416,0.8786885142326355,0.9054054021835327
9,0.986160397529602,0.0387989841401577,0.9835596680641174,0.9885057210922241,0.875420868396759,0.4640512764453888,0.8700000047683716,0.8817567825317383
10,0.9914833307266235,0.02642141282558441,0.9906743168830872,0.9920976758003235,0.8771044015884399,0.5273591876029968,0.8858131766319275,0.8648648858070374
11,0.9889993071556091,0.030071815475821495,0.9892163872718811,0.9885057210922241,0.872053861618042,0.5702481269836426,0.8481012582778931,0.9054054021835327
